id	version	sections	role	url	sha256	status
bipm-si-brochure	BIPM SI Brochure 9th edition version 4.01 (2026)	2.3;2.4;2.5;4;5	normative-specification	https://www.bipm.org/documents/20126/41483022/SI-Brochure-9.pdf	1122cf38e25b23d780a30607c68f7350b2b6d1f9970a89947aaa87a45ecbb20a	pinned
bipm-si-brochure-releases	current source sentinel	all	release-sentinel	https://www.bipm.org/documents/20126/41483022/SI-Brochure-9.pdf	1122cf38e25b23d780a30607c68f7350b2b6d1f9970a89947aaa87a45ecbb20a	pinned
nist-sp811	NIST SP 811 2008 edition	Appendix B;7.9	normative-specification	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication811e2008.pdf	788dd8f0bcb0ec06e40c300690266742532a7e760a93be57764b77ed0ef3482f	pinned
nist-sp811-releases	current source sentinel	all	release-sentinel	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication811e2008.pdf	788dd8f0bcb0ec06e40c300690266742532a7e760a93be57764b77ed0ef3482f	pinned
dsv-logistics	2026-08-30 snapshot	road-freight examples	provider-reference	https://www.dsv.com/it-it/sostegno/faq/calcolatore-di-peso-volumetrico	cb48e28b730f5c47b052cccc9e2dec7b894c4107d017a47598ba6a2a3dbadd89	pinned
dbschenker-logistics	2026-05-04 terms	loading metres	provider-reference	https://www.dbschenker.com/resource/blob/2479672/3b7520da0b6a5db3138cbd14b70f3320/terms-of-provision-of-services-in-international-road-forwarding-from-4-05-2026-data.pdf	1a09ade20d355aac4eac3e5a4b803b765f7e701996f6ae46960ebe2bbfe51a85	pinned
dhl-logistics	2026-08-30 snapshot	volumetric weight	provider-reference	https://dct.dhl.com/help	40494a23fed6a47bc8fbdd1b44af965bc2a5dc507cbd25ce00509a8ce69f103c	pinned
carrier-logistics-releases	2026-08-30 source sentinel	all	release-sentinel	https://www.dsv.com/it-it/sostegno/faq/calcolatore-di-peso-volumetrico	cb48e28b730f5c47b052cccc9e2dec7b894c4107d017a47598ba6a2a3dbadd89	pinned
